animalID	year	yday	molt
49386	2020	124	100
49386	2020	137	100
49386	2020	143	100
49510	2020	100	0
49510	2020	102	2
49510	2020	105	0
49510	2020	107	0
49510	2020	108	0
49510	2020	110	0
49510	2020	119	20
49510	2020	124	50
49510	2020	124	18
49510	2020	128	80
49510	2020	131	90
49510	2020	133	95
49510	2020	135	95
49510	2020	143	100
49510	2020	154	100
49510	2020	155	100
49510	2020	159	100
49634	2020	98	0
49634	2020	100	0
49634	2020	102	0
49634	2020	107	0
49634	2020	118	2
49634	2020	129	100
49634	2020	131	100
49634	2020	137	100
49634	2020	139	100
49634	2020	143	100
49680	2020	86	0
49680	2020	104	2
49680	2020	105	2
49680	2020	107	5
49680	2020	110	10
49680	2020	114	60
49680	2020	116	65
49680	2020	122	100
49680	2020	139	100
49957	2020	108	0
49957	2020	110	0
49957	2020	112	20
49957	2020	112	0
49957	2020	135	100
49957	2020	137	100
49957	2020	139	100
49957	2020	152	100
49957	2020	154	100
49957	2020	155	100
49957	2021	89	0
49957	2021	100	0
49957	2021	102	0
49957	2021	114	5
49957	2021	120	90
49957	2021	143	100
49957	2021	145	100
49957	2021	146	100
49957	2021	148	100
49963	2021	88	0
49963	2021	92	1
49963	2021	100	2
49963	2021	114	100
49963	2021	120	100
49963	2021	123	100
49963	2021	125	100
49963	2021	130	100
49963	2021	130	100
50292	2020	124	5
50292	2020	128	0
50292	2020	150	100
50292	2020	150	100
50292	2020	152	100
50292	2020	154	100
50292	2020	155	100
50292	2020	162	100
50292	2020	163	100
50311	2020	131	5
50311	2020	135	20
50311	2020	135	25
50311	2020	137	60
50311	2020	139	95
50311	2020	143	100
50311	2020	145	100
50311	2020	152	100
50311	2020	154	100
50342	2020	110	10
50342	2020	112	35
50342	2020	122	100
50342	2020	124	100
50342	2020	124	100
50342	2020	126	100
50342	2020	128	100
50342	2020	137	100
50342	2020	139	100
50366	2020	119	5
50366	2020	124	2
50366	2020	126	2
50366	2020	128	1
50366	2020	131	0
50366	2020	135	5
50366	2020	137	20
50366	2020	139	50
50366	2020	143	100
50366	2020	147	100
50374	2020	93	5
50374	2020	95	20
50374	2020	105	0
50374	2020	110	10
50374	2020	124	100
50374	2020	128	100
50374	2020	135	100
50374	2020	135	100
50483	2020	110	0
50483	2020	121	5
50483	2020	124	5
50483	2020	124	2
50483	2020	131	35
50483	2020	135	85
50483	2020	139	100
50483	2020	150	100
50483	2020	152	100
50483	2020	152	100
50483	2020	155	100
50531	2021	94	0
50531	2021	99	0
50531	2021	100	0
50531	2021	107	5
50531	2021	137	100
50531	2021	138	100
50531	2021	144	100
50627	2020	102	0
50627	2020	104	0
50627	2020	110	0
50627	2020	112	2
50627	2020	114	0
50627	2020	116	0
50627	2020	122	8
50627	2020	122	5
50627	2020	124	20
50627	2020	126	60
50627	2020	128	40
50627	2020	135	100
50627	2020	137	100
50627	2020	147	100
50627	2020	147	100
50627	2020	150	100
50627	2020	152	100
50627	2021	95	0
50627	2021	98	0
50627	2021	99	0
50627	2021	100	0
50627	2021	100	0
50627	2021	102	0
50627	2021	103	0
50627	2021	106	0
50627	2021	108	0
50627	2021	110	0
50627	2021	116	0
50627	2021	117	5
50627	2021	118	5
50627	2021	123	15
50627	2021	124	20
50627	2021	126	70
50627	2021	127	80
50627	2021	128	100
50627	2021	128	80
50627	2021	130	100
50627	2021	130	100
50627	2021	130	100
50627	2021	139	100
50627	2021	143	100
50627	2021	145	100
50627	2021	153	100
50664	2020	76	0
50664	2020	86	0
50664	2020	93	0
50664	2020	93	15
50664	2020	98	2
50664	2020	104	60
50664	2020	104	50
50664	2020	105	80
50664	2020	112	100
50664	2020	122	100
50664	2020	124	100
50697	2020	148	1
50697	2020	150	0
50697	2020	154	100
50697	2020	154	5
50697	2020	155	5
50697	2020	162	5
50697	2020	163	5
50697	2020	166	30
50697	2020	168	80
50697	2020	182	100
50735	2020	100	0
50735	2020	104	0
50735	2020	105	0
50735	2020	110	1
50735	2020	112	5
50735	2020	122	80
50735	2020	128	100
50735	2020	133	100
50735	2020	135	100
50735	2020	137	100
50763	2020	118	0
50763	2020	119	0
50763	2020	119	0
50763	2020	122	0
50763	2020	126	0
50763	2020	131	5
50763	2020	133	2
50763	2020	135	5
50763	2020	137	5
50763	2020	141	20
50763	2020	154	100
50763	2020	162	100
50763	2020	163	100
50784	2020	124	30
